variables,runtime
42485,3.868259
42485,3.049603
42485,3.382464
42485,3.288258
42485,3.019644
6997,0.383351
6997,0.451960
6997,0.393192
6997,0.402542
6997,0.462622
6997,0.422864
6997,0.382027
6997,0.453000
6997,0.450252
6997,0.475735
6997,0.362812
6997,0.370838
6997,0.377792
6997,0.436024
6997,0.449974
6997,0.383114
6997,0.429043
6997,0.369722
6997,0.371287
6997,0.374569
6997,0.410171
6997,0.409206
6997,0.450213
6997,0.476355
6997,0.360667
6997,0.377561
6997,0.401007
6997,0.375024
6997,0.394294
6997,0.358224
38907,3.212123
38907,3.838792
38907,3.442144
38907,3.293902
38907,3.639191
38907,3.765346
38907,3.233705
38907,4.006725
38907,3.656776
38907,3.597834
38907,3.197942
38907,4.203721
38907,2.912048
38907,3.086836
38907,3.114692
38907,2.889834
38907,4.544151
38907,2.813473
38907,3.312776
38907,3.124406
38907,4.243309
38907,2.721277
38907,4.397843
38907,4.184693
38907,2.764532
38907,2.962800
38907,3.068528
38907,2.965872
38907,3.221773
38907,2.941263
8700,0.386899
8700,0.377782
8700,0.344007
8700,0.489474
8700,0.479764
8700,0.329951
8700,0.346471
8700,0.716504
8700,0.593974
8700,0.677168
8700,0.409828
8700,0.567018
8700,0.428132
8700,0.418136
8700,0.367778
8700,0.390123
8700,0.522553
8700,0.488077
8700,0.360144
8700,0.404828
8700,0.344614
8700,0.411765
8700,0.568219
8700,0.358961
8700,0.363974
8700,0.399409
8700,0.567079
8700,0.550264
8700,0.594616
8700,0.566634
34159,3.689436
34159,2.399737
34159,3.784918
34159,2.562757
34159,2.468281
34159,4.311096
34159,2.524161
34159,3.674953
34159,2.465035
34159,2.365923
34159,2.626557
34159,2.713824
34159,2.802849
34159,2.543875
34159,2.380108
34159,2.348762
34159,2.434712
34159,2.676099
34159,2.642918
34159,2.766988
34159,3.578440
34159,3.787532
34159,3.752841
34159,3.414666
34159,2.395571
34159,2.279587
34159,2.314809
34159,2.632362
34159,2.224805
34159,2.466498
6530,0.247838
6530,0.226058
6530,0.210433
6530,0.193879
6530,0.194987
6530,0.212590
6530,0.201224
6530,0.214762
6530,0.317830
6530,0.210973
6530,0.211736
6530,0.230915
6530,0.217402
6530,0.219330
6530,0.218265
6530,0.235087
6530,0.216416
6530,0.221224
6530,0.192004
6530,0.227319
6530,0.222597
6530,0.213465
6530,0.221918
6530,0.210532
6530,0.226780
6530,0.273236
6530,0.336175
6530,0.289733
6530,0.414564
6530,0.388789
26296,1.708697
26296,1.739189
26296,1.567610
26296,2.479247
26296,1.525264
26296,1.643826
26296,1.515646
26296,1.752899
26296,1.463009
26296,2.636360
26296,2.488001
26296,2.352252
26296,1.416335
26296,1.351355
26296,1.505672
26296,1.514354
26296,1.489478
26296,1.581697
26296,1.340306
26296,1.679381
26296,1.652206
26296,2.501448
26296,2.582243
26296,2.906934
26296,1.485380
26296,1.518659
26296,1.502494
26296,2.523428
26296,1.460840
26296,1.462118
8000,0.344333
8000,0.347626
8000,0.363299
8000,0.319607
8000,0.361203
8000,0.354098
8000,0.345680
8000,0.375053
8000,0.369560
8000,0.372166
8000,0.396319
8000,0.404887
8000,0.384011
8000,0.389138
8000,0.374666
8000,0.384507
8000,0.361676
8000,0.366486
8000,0.644273
8000,0.353671
8000,0.379551
8000,0.434092
8000,0.420957
8000,0.425359
8000,0.418376
8000,0.427788
8000,0.416760
8000,0.416891
8000,0.456831
8000,0.359326
37055,3.232528
37055,5.218805
37055,3.265916
37055,4.716189
37055,3.346327
37055,3.503231
37055,3.515499
37055,3.149358
37055,5.243816
37055,3.105401
37055,3.291494
37055,5.406322
37055,3.015590
37055,3.009609
37055,3.047140
37055,3.439587
37055,2.995410
37055,2.949731
37055,3.210711
37055,4.578882
37055,3.071515
37055,5.177214
37055,4.843143
37055,5.039562
37055,3.145014
37055,3.356523
37055,3.193565
37055,3.166838
37055,3.347881
37055,4.230174
18454,2.676362
18454,2.495151
18454,2.493282
18454,3.228530
18454,3.157069
18454,2.521933
18454,2.453289
18454,2.536013
18454,3.256526
18454,3.615309
18454,2.433716
18454,2.373952
18454,2.376445
18454,2.508128
18454,2.450767
18454,2.655747
18454,2.741689
18454,2.411098
18454,3.176993
18454,3.709826
18454,3.664881
18454,2.450358
18454,2.359219
18454,2.560043
18454,2.468987
18454,3.768123
18454,2.326860
18454,2.295649
18454,2.279043
18454,3.348888
30371,3.288517
30371,4.453800
30371,3.488848
30371,3.517957
30371,3.468964
30371,2.989510
30371,3.171339
30371,5.463987
30371,3.768790
30371,3.746829
30371,4.680990
30371,4.442709
30371,3.313600
30371,3.416318
30371,3.782695
30371,3.884034
30371,3.967128
30371,3.946987
30371,4.340292
30371,3.369369
30371,2.902329
30371,4.571384
30371,3.523613
30371,4.040921
30371,3.591724
30371,3.951189
30371,3.570879
30371,3.314607
30371,3.008239
30371,3.269537
9561,0.338171
9561,0.314410
9561,0.308427
9561,0.327339
9561,0.326531
9561,0.297518
9561,0.321878
9561,0.313540
9561,0.347049
9561,0.313964
9561,0.318933
9561,0.297055
9561,0.308598
9561,0.419616
9561,0.336248
9561,0.320169
9561,0.318160
9561,0.288939
9561,0.399000
9561,0.303069
9561,0.294259
9561,0.289123
9561,0.302922
9561,0.319129
9561,0.313679
9561,0.283254
9561,0.270675
9561,0.287851
9561,0.270822
9561,0.276008
39185,2.844376
39185,2.374027
39185,2.304080
39185,2.405744
39185,3.066225
39185,2.476789
39185,2.652875
39185,3.017299
39185,2.361677
39185,2.911614
39185,2.509439
39185,2.499778
39185,2.377899
39185,2.279404
39185,2.478443
39185,2.391775
39185,2.524841
39185,2.440834
39185,2.634245
39185,2.715012
