set_id,method,scenario_count,timely_ratio_mean,timely_ratio_ci_low,timely_ratio_ci_high,conn_ratio_mean,bound_ratio_mean,gap_mean,gap_undefined_count,shortfall_mean,planning_runtime_s_mean,evaluation_runtime_s_per_realization_mean,bound_runtime_s_mean,union_bound_ratio_mean,union_gap_mean,evaluate_calls_mean
sens-lref1m,B2,10,0.3005,0.22633125,0.3636666666666667,1.0,nan,nan,10,24.56433828374733,125.23133473530179,0.040171447106501244,nan,0.4364364655309158,0.33595869164161474,1756.7
sens-lref1m,P,10,0.30591666666666667,0.23174999999999998,0.367,1.0,nan,nan,10,24.53029564567479,128.3385791809007,0.039529957773241524,nan,0.4364364655309158,0.3238742647110988,1818.6
sens-lref500k,B1,10,0.3630833333333333,0.27925000000000005,0.4405020833333333,1.0,0.5262100019287791,0.32927698006663414,0,24.80939389533573,0.1457095866004238,0.024598790883222442,2.564672862671529,0.5262100019287791,0.32927698006663414,1.0
sens-lref500k,B2,10,0.41741666666666666,0.3367479166666667,0.48183333333333334,0.9991111111111112,nan,nan,10,19.99008250821018,147.05892682760313,0.04575165648343197,nan,0.5262100019287791,0.21721562696428057,1925.3
sens-lref500k,P,10,0.41825,0.3364166666666667,0.4840000000000001,0.9991111111111112,nan,nan,10,20.03529072622909,139.83651694410074,0.04178178306019011,nan,0.5262100019287791,0.21568686237540521,1924.9
sens-physical,B1,10,1.0,1.0,1.0,1.0,1.0,0.0,0,3.647680083910624e-17,0.07718985229730606,0.020315543743199667,0.6363110542660191,1.0,0.0,1.0
sens-physical,B2,10,1.0,1.0,1.0,1.0,nan,nan,10,3.647680083910624e-17,9.220258781203302,0.02041183987331654,nan,1.0,0.0,227.0
sens-physical,P,10,1.0,1.0,1.0,1.0,nan,nan,10,3.647680083910624e-17,8.670784255102626,0.01993816878675716,nan,1.0,0.0,228.0
v0,B1,10,0.45516666666666666,0.3631645833333334,0.53291875,1.0,0.6007775327199065,0.2632962074071327,0,21.12032774264319,0.1347740016935859,0.025193362810047498,2.1915471384193124,0.6007775327199065,0.2632962074071327,1.0
v0,B2,10,0.5036666666666666,0.4096666666666667,0.5804166666666666,1.0,nan,nan,10,16.925633462746568,139.37534534590378,0.04382753116360012,nan,0.6007775327199065,0.17515811020980848,1925.1
v0,P,10,0.5060833333333333,0.41150000000000003,0.5830041666666665,1.0,nan,nan,10,16.838160523583646,146.59260310610117,0.04389900612994097,nan,0.6007775327199065,0.17155828358173583,2001.0
v0-bh50,B1,10,0.389,0.31033333333333335,0.4652520833333333,1.0,0.5686280102321238,0.3296113571974288,0,22.756077151686124,0.1233004164067097,0.02461512160322551,3.555727453643146,0.5686280102321238,0.3296113571974288,1.0
v0-bh50,B2,10,0.4655,0.38499375,0.5332499999999999,1.0,nan,nan,10,18.143151632405395,141.11022461999966,0.042533075440151155,nan,0.5686280102321238,0.19194677288786274,1957.9
v0-bh50,P,10,0.46433333333333326,0.3843333333333333,0.5326666666666666,1.0,nan,nan,10,18.18102207164852,142.0856524516974,0.04070657063003939,nan,0.5686280102321238,0.19379095482932812,1979.8
